term_month_year,TA_name,student_ID,legal_name,email,grad_ugrad,supervisor_name,priority(yes/no),hours(90/180),date_applied,location,phone,degree,courses_applied_for,open_to_other_courses(yes/no),notes
Winter2022,Addie,260123456,Addie Stayt,ad@mail.com,ugrad,Pecha,FALSE,90,2021-10-09,450 Hudson Road,101-320-1468,bachelor,web development,TRUE,leo odio condimentum id luctus nec molestie sed justo pellentesque
Winter2022,Giorgi,260234567,Giorgi Habard,gi@mail.com,grad,Janks,FALSE,180,2021-10-04,5 Huxley Drive,659-209-2297,bachelor,computer system lab,FALSE,erat id mauris vulputate elementum nullam varius nulla
Winter2022,Aloysia,260345678,Aloysia Kick,al@mail.com,ugrad,Biasotti,FALSE,180,2021-12-20,4 Rigney Way,221-145-6303,master,intro to cpp,FALSE,habitasse platea dictumst maecenas ut massa quis augue
Winter2022,Leicester,260456789,Leicester Gritton,le@mail.com,ugrad,Corbin,TRUE,90,2021-09-24,14 Pond Drive,432-556-2401,bachelor,computing theory,FALSE,erat nulla tempus vivamus in felis eu sapien
Winter2022,Ibrahim,260567890,Ibrahim Lavery,ib@mail.com,ugrad,Dymick,TRUE,180,2021-05-09,6 Westridge Lane,715-808-3235,master,concurrent programming,TRUE,sit amet sem fusce consequat
Winter2022,Laurianne,260472859,Laurianne Redit,la@mail.com,grad,Neary,FALSE,180,2021-11-08,511 Graceland Way,323-473-4364,master,database,FALSE,curabitur at ipsum ac tellus semper interdum
Fall2021,Brannon,260654321,Brannon Clavering,br@mail.com,ugrad,Davidi,TRUE,180,2021-09-19,72 Melody Lane,479-807-9081,master,software design,TRUE,fusce posuere felis sed lacus morbi
Fall2021,Terry,260765432,Terry Cockshott,te@mail.com,ugrad,Nethercott,FALSE,90,2021-07-23,01 Surrey Center,738-588-3595,bachelor,operating system,TRUE,amet eros suspendisse accumsan tortor quis
Fall2021,Jessa,260876543,Jessa Lambersen,je@mail.com,ugrad,Swallow,FALSE,90,2021-04-10,3 Sutherland Park,780-660-7254,bachelor,statistics,TRUE,felis eu sapien cursus vestibulum
Fall2021,Wilbert,260098765,Wilbert Graveston,wi@mail.com,grad,Gibke,FALSE,180,2021-09-06,05894 Beilfuss Street,353-980-0330,master,numerical computing,FALSE,amet nunc viverra dapibus nulla
